date,portfolio_value,cash,positions_value
0,100000.0,100000.0,0.0
1,100000.0,100000.0,0.0
2,100000.0,100000.0,0.0
3,100000.0,100000.0,0.0
4,100000.0,100000.0,0.0
5,100000.0,100000.0,0.0
6,100000.0,100000.0,0.0
7,100000.0,100000.0,0.0
8,100000.0,100000.0,0.0
9,100000.0,100000.0,0.0
10,100000.0,100000.0,0.0
11,100000.0,100000.0,0.0
12,100000.0,100000.0,0.0
13,100000.0,100000.0,0.0
14,100000.0,100000.0,0.0
15,100000.0,100000.0,0.0
16,100000.0,100000.0,0.0
17,100000.0,100000.0,0.0
18,100000.0,100000.0,0.0
19,100000.0,100000.0,0.0
20,100000.0,100000.0,0.0
21,100000.0,100000.0,0.0
22,100000.0,100000.0,0.0
23,100000.0,100000.0,0.0
24,100000.0,100000.0,0.0
25,100000.0,100000.0,0.0
26,100000.0,100000.0,0.0
27,100000.0,100000.0,0.0
28,100000.0,100000.0,0.0
29,99980.0,79980.0,20000.0
30,99954.26618415762,79980.0,19974.26618415762
31,99962.30800160837,79980.0,19982.30800160837
32,99922.09891435465,79980.0,19942.098914354647
33,99457.28186570165,79980.0,19477.281865701647
34,99785.388017692,79980.0,19805.388017692007
35,99962.30800160837,79980.0,19982.30800160837
36,100343.49014877362,79980.0,20363.49014877362
37,100308.10615199036,79980.0,20328.10615199036
38,100385.30759951749,79980.0,20405.307599517488
39,100406.21632488942,79980.0,20426.21632488942
40,100520.41013268998,79980.0,20540.410132689984
41,100359.5737836751,79980.0,20379.573783675107
42,100515.58504221955,79980.0,20535.58504221955
43,100150.48652995577,79980.0,20170.48652995577
44,99843.28910333736,79980.0,19863.28910333736
45,99994.47527141134,79980.0,20014.475271411342
46,100325.79815038199,79980.0,20345.79815038199
47,100300.06433453961,79980.0,20320.06433453961
48,100213.21270607157,79980.0,20233.212706071572
49,99885.10655408123,79980.0,19905.106554081227
50,99830.42219541616,79980.0,19850.422195416162
51,100245.37997587454,79980.0,20265.379975874544
52,100607.26176115802,79980.0,20627.26176115802
53,100660.33775633294,79980.0,20680.33775633294
54,100411.04141535987,79980.0,20431.04141535987
55,100702.15520707681,79980.0,20722.15520707681
56,100705.3719340571,79980.0,20725.371934057097
57,100991.66063530359,79980.0,21011.66063530359
58,100991.66063530359,79980.0,21011.66063530359
59,100806.69883393648,79980.0,20826.698833936476
60,100776.13992762365,79980.0,20796.139927623648
61,100497.8930438279,79980.0,20517.893043827906
62,100406.21632488942,79980.0,20426.21632488942
63,100224.47125050261,79980.0,20244.47125050261
64,100211.60434258143,79980.0,20231.604342581428
65,100337.58745476478,100337.58745476478,0.0
66,100337.58745476478,100337.58745476478,0.0
67,100337.58745476478,100337.58745476478,0.0
68,100337.58745476478,100337.58745476478,0.0
69,100337.58745476478,100337.58745476478,0.0
70,100337.58745476478,100337.58745476478,0.0
71,100337.58745476478,100337.58745476478,0.0
72,100337.58745476478,100337.58745476478,0.0
73,100337.58745476478,100337.58745476478,0.0
74,100337.58745476478,100337.58745476478,0.0
75,100337.58745476478,100337.58745476478,0.0
76,100337.58745476478,100337.58745476478,0.0
77,100337.58745476478,100337.58745476478,0.0
78,100337.58745476478,100337.58745476478,0.0
79,100337.58745476478,100337.58745476478,0.0
80,100337.58745476478,100337.58745476478,0.0
81,100337.58745476478,100337.58745476478,0.0
82,100317.51993727383,80250.00244632087,20067.51749095296
83,100256.23307884413,80250.00244632087,20006.230632523264
84,100231.08975230888,80250.00244632087,19981.08730598801
85,100157.23123061156,80250.00244632087,19907.228784290695
86,100304.9482740062,80250.00244632087,20054.945827685326
87,100474.66572811919,80250.00244632087,20224.66328179832
88,100812.52917843673,80250.00244632087,20562.52673211586
89,100817.24355216208,80250.00244632087,20567.24110584121
90,100869.10166314105,80250.00244632087,20619.099216820177
91,100851.81562614806,80250.00244632087,20601.813179827193
92,100576.81049216868,80250.00244632087,20326.808045847807
93,100491.95176511219,80250.00244632087,20241.949318791318
94,100397.66429060497,80250.00244632087,20147.6618442841
